"Contract Name"	"Last Trade "	"Change"	"Bid"	"Ask"	"Volume"	"Interest"	"Strike Price "	"Contract Name"	"Last Trade "	"Change"	"Bid"	"Ask"	"Volume"	"Interest"
"AAPL7\13J19\315.0"	138.65	0	80.3	83.3	2	2	315	"AAPL7\13V19\315.0"	9.5	0.95	9.7	10	3	11
"AAPL\13J19\315.0"	88.2	-34.9	80.8	82.9	10	15	315	"AAPL\13V19\315.0"	9.7	-0.37	9.75	10	47	2140
"AAPL7\13J19\320.0"	79.75	-11.25	77.25	78.25	2	9	320	"AAPL7\13V19\320.0"	10.3	0	10.9	11.2	1	0
"AAPL\13J19\320.0"	88.15	-18.05	77.4	77.95	6	49	320	"AAPL\13V19\320.0"	10.85	-0.25	10.9	11.2	768	410
"AAPL7\13J19\325.0"	71.65	-39.9	73.1	76	1	5	325	"AAPL7\13V19\325.0"	12.42	8.42	12.1	12.4	1	12
"AAPL\13J19\325.0"	90	-10.09	73.55	74.2	2	56	325	"AAPL\13V19\325.0"	12	-0.85	12.1	12.35	281	874
"AAPL7\13J19\330.0"	0	0	69.35	72.55	0	0	330	"AAPL7\13V19\330.0"	12.45	-0.6	13.45	13.7	2	30
"AAPL\13J19\330.0"	73.5	-6.97	69.9	70.5	1	72	330	"AAPL\13V19\330.0"	13.35	-0.6	13.45	13.65	52	398
"AAPL7\13J19\335.0"	0	0	65.7	68.6	0	0	335	"AAPL7\13V19\335.0"	8.53	0	14.7	15.35	10	10
"AAPL\13J19\335.0"	72	-38.85	66.25	66.9	1	44	335	"AAPL\13V19\335.0"	14.7	-0.55	14.9	15.15	109	254
"AAPL7\13J19\340.0"	98.25	0	62.25	64.45	3	3	340	"AAPL7\13V19\340.0"	13.95	4.52	16.4	16.7	13	24
"AAPL\13J19\340.0"	66.28	-5.72	62.75	63.4	1	47	340	"AAPL\13V19\340.0"	16.15	0.15	16.45	16.7	33	1071
"AAPL7\13J19\345.0"	0	0	58.7	61.7	0	0	345	"AAPL7\13V19\345.0"	0	0	16.35	18.55	0	0
"AAPL\13J19\345.0"	70	-11.71	59.25	59.95	8	60	345	"AAPL\13V19\345.0"	17.5	-1.24	18.05	18.35	2	688
"AAPL7\13J19\350.0"	58.4	1.4	55.8	56.85	2	8	350	"AAPL7\13V19\350.0"	19.8	-0.95	19.8	20.1	5	46
"AAPL\13J19\350.0"	57.18	-1.22	56.05	56.6	6	149	350	"AAPL\13V19\350.0"	19.6	-0.3	19.85	20	259	2539
"AAPL7\13J19\355.0"	62.4	-19.35	52.9	53.6	5	6	355	"AAPL7\13V19\355.0"	22.12	15.62	21.45	22.1	15	2
"AAPL\13J19\355.0"	52.65	-9.3	52.9	53.4	69	78	355	"AAPL\13V19\355.0"	20.98	-1.69	21.65	22	51	480
"AAPL7\13J19\360.0"	0	0	49.65	51.85	0	0	360	"AAPL7\13V19\360.0"	23.45	-0.6	23.7	24	9	28
"AAPL\13J19\360.0"	53.65	1.25	49.75	50.3	159	77	360	"AAPL\13V19\360.0"	23.16	-1.19	23.7	23.95	120	800
"AAPL7\13J19\365.0"	69.55	-11.25	46.75	47.7	2	2	365	"AAPL7\13V19\365.0"	0	0	23.65	26.6	0	0
"AAPL\13J19\365.0"	50.15	-0.4	46.85	47.45	23	64	365	"AAPL\13V19\365.0"	25	-1.08	25.8	26.1	212	1251
"AAPL7\13J19\370.0"	45	-0.33	44.15	44.85	5	15	370	"AAPL7\13V19\370.0"	28.35	3.3	28.05	28.35	1	14
"AAPL\13J19\370.0"	44.5	-2.5	44.1	44.65	17	54	370	"AAPL\13V19\370.0"	27.35	-1	28.05	28.35	229	579
"AAPL7\13J19\375.0"	0	0	41.35	43.15	0	0	375	"AAPL7\13V19\375.0"	30	-0.11	30.4	30.7	10	7
"AAPL\13J19\375.0"	42.65	-2.05	41.5	41.95	10	79	375	"AAPL\13V19\375.0"	30	-0.53	30.4	30.65	206	1605
"AAPL7\13J19\380.0"	70	5	38.8	39.8	2	5	380	"AAPL7\13V19\380.0"	32.5	-0.5	32.85	33.15	20	45
"AAPL\13J19\380.0"	40	-0.77	38.9	39.35	195	212	380	"AAPL\13V19\380.0"	32.8	0.02	32.9	33.1	136	1632
"AAPL7\13J19\385.0"	39.6	-4.41	36.5	36.95	3	4	385	"AAPL7\13V19\385.0"	34.1	1.3	35.45	35.75	1	35
"AAPL\13J19\385.0"	36.82	-1.03	36.45	36.95	110	102	385	"AAPL\13V19\385.0"	35	-0.45	35.45	35.95	67	624
"AAPL7\13J19\390.0"	37.05	0.5	34.1	34.65	3	20	390	"AAPL7\13V19\390.0"	38	0.25	38.1	38.45	11	11
"AAPL\13J19\390.0"	34.35	-1.28	34.15	34.6	147	282	390	"AAPL\13V19\390.0"	37.5	-0.5	38.05	38.45	192	1479
"AAPL7\13J19\395.0"	33.5	-29.71	31.9	32.45	3	5	395	"AAPL7\13V19\395.0"	39.15	0.35	40.95	41.25	3	16
"AAPL\13J19\395.0"	35	1.55	31.95	32.4	59	148	395	"AAPL\13V19\395.0"	40.65	0.27	40.95	41.25	471	1357
"AAPL7\13J19\400.0"	30.2	-1.25	29.9	30.3	24	98	400	"AAPL7\13V19\400.0"	40.4	-1.1	43.85	44.15	26	66
"AAPL\13J19\400.0"	30.1	-1.3	30	30.1	400	1641	400	"AAPL\13V19\400.0"	43.8	0.05	43.85	44.2	659	5543
"AAPL7\13J19\405.0"	32.1	2.9	27.9	28.3	5	7	405	"AAPL7\13V19\405.0"	37.97	7.17	46.9	47.2	6	14
"AAPL\13J19\405.0"	31.85	2.45	27.85	28.3	29	343	405	"AAPL\13V19\405.0"	45.74	-1.56	46.85	47.3	48	688
"AAPL7\13J19\410.0"	28.28	-0.57	26	26.5	2	28	410	"AAPL7\13V19\410.0"	52.2	2.85	50	50.35	10	37
"AAPL\13J19\410.0"	26.8	-0.9	26	26.45	298	563	410	"AAPL\13V19\410.0"	48.85	-0.7	49.9	50.35	76	1037
"AAPL7\13J19\415.0"	26.15	1.24	24.15	24.65	12	84	415	"AAPL7\13V19\415.0"	51.1	27.55	53.2	53.55	2	5
"AAPL\13J19\415.0"	25.25	-0.24	24.2	24.65	28	323	415	"AAPL\13V19\415.0"	52.1	-2.55	53.1	53.55	191	641
"AAPL7\13J19\420.0"	22.7	-1.4	22.55	22.9	9	232	420	"AAPL7\13V19\420.0"	56.17	6.32	56.55	56.95	14	163
"AAPL\13J19\420.0"	22.75	-1.11	22.7	22.75	339	1365	420	"AAPL\13V19\420.0"	55	-1.1	56.5	56.95	5	1218
"AAPL7\13J19\425.0"	21.55	-0.7	21	21.35	12	54	425	"AAPL7\13V19\425.0"	40	4.45	59.95	60.35	1	48
"AAPL\13J19\425.0"	21.57	-0.73	20.95	21.4	226	1422	425	"AAPL\13V19\425.0"	59.33	-0.03	59.9	60.4	20	2501
"AAPL7\13J19\430.0"	19.9	-0.67	19.5	19.95	10	45	430	"AAPL7\13V19\430.0"	61.2	3.6	63.45	63.95	21	21
"AAPL\13J19\430.0"	20.1	-0.2	19.5	19.85	65	1844	430	"AAPL\13V19\430.0"	62.62	-1.57	63.45	64	88	1783
"AAPL7\13J19\435.0"	17.5	-1.2	18.1	18.45	10	16	435	"AAPL7\13V19\435.0"	61.1	13.6	66.9	67.5	2	7
"AAPL\13J19\435.0"	18.2	-0.99	18.1	18.4	33	783	435	"AAPL\13V19\435.0"	70.3	2.4	67	67.45	10	1377
"AAPL7\13J19\440.0"	18.25	0.06	16.8	17.15	15	37	440	"AAPL7\13V19\440.0"	70	7.75	70.45	71.35	18	23
"AAPL\13J19\440.0"	16.9	-0.9	16.7	17.1	509	1323	440	"AAPL\13V19\440.0"	65.25	-4.83	70.75	71.2	83	1659
"AAPL7\13J19\445.0"	28.13	-1.97	15.55	15.9	1	17	445	"AAPL7\13V19\445.0"	38.6	0.2	72.95	75.25	36	38
"AAPL\13J19\445.0"	16.1	-0.2	15.55	15.9	18	822	445	"AAPL\13V19\445.0"	72.54	0.96	74.5	75.15	2	1159
"AAPL7\13J19\450.0"	14.7	-0.7	14.35	14.75	30	170	450	"AAPL7\13V19\450.0"	62.7	5.7	78.15	79.15	5	66
"AAPL\13J19\450.0"	14.79	-0.41	14.4	14.75	500	4349	450	"AAPL\13V19\450.0"	77.37	-0.75	78.35	78.85	208	5065
"AAPL7\13J19\455.0"	14.65	-0.35	13.3	13.6	10	43	455	"AAPL7\13V19\455.0"	44.34	2.84	80.5	83.3	1	29
"AAPL\13J19\455.0"	13.8	-0.5	13.35	13.6	88	780	455	"AAPL\13V19\455.0"	79.5	0.05	82.2	82.95	1	815
"AAPL7\13J19\460.0"	13.3	-1	12.25	12.6	2	62	460	"AAPL7\13V19\460.0"	80.95	5.95	86	87	1	64
"AAPL\13J19\460.0"	12.65	-0.45	12.3	12.6	154	2112	460	"AAPL\13V19\460.0"	84.1	-2.9	86.2	86.85	34	1934
"AAPL7\13J19\465.0"	12.85	-6.1	11.35	11.8	6	129	465	"AAPL7\13V19\465.0"	41.05	-5.95	88.6	91.3	1	75
"AAPL\13J19\465.0"	12.75	0.05	11.4	11.7	13	649	465	"AAPL\13V19\465.0"	88.1	-2.5	90.25	90.95	3	828
"AAPL7\13J19\470.0"	12.5	-6.05	10.45	10.75	1	60	470	"AAPL7\13V19\470.0"	90.85	18.5	94.25	95.25	1	119
"AAPL\13J19\470.0"	10.65	-0.65	10.45	10.75	262	3871	470	"AAPL\13V19\470.0"	92.88	-0.12	94.45	95.1	3	2854
"AAPL7\13J19\475.0"	10.2	-2.3	9.65	9.9	3	134	475	"AAPL7\13V19\475.0"	95	47.4	98.45	99.3	10	116
"AAPL\13J19\475.0"	9.75	-0.7	9.65	9.9	83	2797	475	"AAPL\13V19\475.0"	96	-2.08	98.45	99.15	4	1278
"AAPL7\13J19\480.0"	10	-1.55	8.9	9.2	1	33	480	"AAPL7\13V19\480.0"	58.2	-0.1	101.45	103.55	8	8
"AAPL\13J19\480.0"	9.05	-0.65	8.9	9.2	216	1570	480	"AAPL\13V19\480.0"	99.67	-2.86	102.75	103.45	2	1454
"AAPL7\13J19\485.0"	10.5	-6.5	8.2	8.5	2	4	485	"AAPL7\13V19\485.0"	59.25	-0.15	105.05	108.05	4	20
"AAPL\13J19\485.0"	8.55	-0.41	8.25	8.5	30	579	485	"AAPL\13V19\485.0"	104.48	-2.57	107.1	107.75	29	629
"AAPL7\13J19\490.0"	12.8	-1.3	7.55	7.8	10	34	490	"AAPL7\13V19\490.0"	84.75	2.65	109.95	112.55	15	55
"AAPL\13J19\490.0"	8.4	0.29	7.55	7.85	72	1471	490	"AAPL\13V19\490.0"	114.9	2.14	111.55	112.35	58	1389
"AAPL7\13J19\495.0"	9.2	0.2	7	7.25	13	21	495	"AAPL7\13V19\495.0"	93.1	27.15	115.85	116.85	17	29
"AAPL\13J19\495.0"	7.15	-0.27	7	7.25	37	562	495	"AAPL\13V19\495.0"	114	0.82	115.85	116.6	12	638
"AAPL7\13J19\500.0"	7.15	-0.05	6.45	6.7	26	284	500	"AAPL7\13V19\500.0"	116.05	14.35	120.25	121	10	77
"AAPL\13J19\500.0"	6.6	-0.45	6.5	6.75	1020	12457	500	"AAPL\13V19\500.0"	119.12	-0.71	120.3	121	33	4824
"AAPL7\13J19\505.0"	6.6	-6.6	5.9	6.2	10	20	505	"AAPL7\13V19\505.0"	0	0	122.7	126	0	0
"AAPL\13J19\505.0"	6.15	-0.31	5.95	6.15	44	956	505	"AAPL\13V19\505.0"	120.3	-2.89	124.7	125.45	16	809
"AAPL7\13J19\510.0"	10.5	-1.35	5.4	5.7	2	10	510	"AAPL7\13V19\510.0"	120	51	129.3	130.3	20	5
"AAPL\13J19\510.0"	5.63	-0.42	5.45	5.7	40	3106	510	"AAPL\13V19\510.0"	124.35	-6.25	129.4	130.05	3	2665
"AAPL7\13J19\515.0"	6.15	-4.6	5	5.5	10	8	515	"AAPL7\13V19\515.0"	0	0	131.8	135.15	0	0
"AAPL\13J19\515.0"	5.15	-0.4	5	5.2	9	729	515	"AAPL\13V19\515.0"	132.88	-1.52	133.85	134.55	5	590
"AAPL7\13J19\520.0"	5.8	-4.71	4.6	5	10	51	520	"AAPL7\13V19\520.0"	112.33	0	136.85	139.65	1	1
"AAPL\13J19\520.0"	4.7	-0.4	4.7	4.75	45	2485	520	"AAPL\13V19\520.0"	132.45	-7.05	138.5	139.1	24	2024
"AAPL7\13J19\525.0"	8.25	-1.3	4.2	4.6	2	15	525	"AAPL7\13V19\525.0"	0	0	141.05	144.4	0	0
"AAPL\13J19\525.0"	4.55	-0.25	4.25	4.45	82	3871	525	"AAPL\13V19\525.0"	139.4	-3.6	143.15	143.75	4	1270
"AAPL7\13J19\530.0"	4.7	0	3.85	4.3	10	0	530	"AAPL7\13V19\530.0"	93.14	0	145.65	148.9	34	34
"AAPL\13J19\530.0"	3.95	-0.4	3.9	4.1	36	3367	530	"AAPL\13V19\530.0"	143.8	1.53	147.75	148.5	2	1023
"AAPL7\13J19\535.0"	13.6	0	3.55	3.95	4	4	535	"AAPL7\13V19\535.0"	97.23	0	151.1	153.55	34	34
"AAPL\13J19\535.0"	4.38	0.23	3.6	3.8	19	1594	535	"AAPL\13V19\535.0"	116	-6.2	151.05	154.05	2	403
"AAPL7\13J19\540.0"	7.67	-0.33	3.25	3.65	8	9	540	"AAPL7\13V19\540.0"	103.35	0	155.05	158.3	13	13
"AAPL\13J19\540.0"	3.65	-0.1	3.35	3.55	3122	1505	540	"AAPL\13V19\540.0"	155.19	-0.81	157.2	157.9	41	2110
"AAPL7\13J19\545.0"	0	0	2.89	4.4	0	0	545	"AAPL7\13V19\545.0"	0	0	160.6	163	0	0
"AAPL\13J19\545.0"	3.55	0	3.05	3.25	33	539	545	"AAPL\13V19\545.0"	161.42	-1.35	161.9	162.8	4	557
"AAPL7\13J19\550.0"	3.9	0.25	2.7	3.05	2	770	550	"AAPL7\13V19\550.0"	0	0	164.55	167.85	0	0
"AAPL\13J19\550.0"	2.93	-0.37	2.78	2.95	798	7078	550	"AAPL\13V19\550.0"	163.79	8.14	166.65	167.4	21	1138
"AAPL7\13J19\555.0"	5.1	-4.15	2.51	2.86	2	36	555	"AAPL7\13V19\555.0"	0	0	170.05	172.4	0	0
"AAPL\13J19\555.0"	2.9	-0.09	2.6	2.71	7	464	555	"AAPL\13V19\555.0"	168	5.5	171.4	172.15	1	271
"AAPL7\13J19\560.0"	9.4	0	1.66	4.05	1	1	560	"AAPL7\13V19\560.0"	0	0	174.85	177.2	0	0
"AAPL\13J19\560.0"	2.7	-0.3	2.4	2.53	2	2131	560	"AAPL\13V19\560.0"	175.86	8.11	176.2	176.95	2	411
"AAPL7\13J19\565.0"	0	0	1.14	3.85	0	0	565	"AAPL7\13V19\565.0"	0	0	179.65	182	0	0
"AAPL\13J19\565.0"	2.69	-0.25	2.02	2.34	4	466	565	"AAPL\13V19\565.0"	181.4	14.4	180.9	181.85	2	493
"AAPL7\13J19\570.0"	2.5	-0.75	1.98	2.22	40	13	570	"AAPL7\13V19\570.0"	0	0	184.35	187	0	0
"AAPL\13J19\570.0"	2.36	-0.12	1.94	2.17	2	544	570	"AAPL\13V19\570.0"	191.2	4.31	185.75	186.6	1	367
"AAPL7\13J19\575.0"	3.4	-1.35	1.81	2.07	1	2	575	"AAPL7\13V19\575.0"	0	0	189.15	191.9	0	0
"AAPL\13J19\575.0"	2	-0.15	1.86	1.99	16	1909	575	"AAPL\13V19\575.0"	188.5	-1.35	190.6	191.55	3	1046
"AAPL7\13J19\580.0"	3.3	0	1.68	1.93	2	2	580	"AAPL7\13V19\580.0"	0	0	193.45	196.4	0	0
"AAPL\13J19\580.0"	2.21	0.12	1.72	1.83	21	1639	580	"AAPL\13V19\580.0"	194.18	9.31	195.5	196.2	1	312
"AAPL7\13J19\585.0"	0	0	1.51	3.45	0	0	585	"AAPL7\13V19\585.0"	0	0	199.1	201.55	0	0
"AAPL\13J19\585.0"	1.67	-0.23	1.56	1.69	2	485	585	"AAPL\13V19\585.0"	198.2	-1.46	200.2	201.1	1	419
"AAPL7\13J19\590.0"	3.35	0.25	1.39	3.15	4	7	590	"AAPL7\13V19\590.0"	0	0	203.4	206.45	0	0
"AAPL\13J19\590.0"	1.68	-0.07	1.47	1.58	13	880	590	"AAPL\13V19\590.0"	201.05	-5.64	205.1	206	7	219
"AAPL7\13J19\595.0"	4.6	0	1.29	4.6	2	2	595	"AAPL7\13V19\595.0"	0	0	208.2	211.2	0	0
"AAPL\13J19\595.0"	1.76	-0.23	1.35	1.47	2	565	595	"AAPL\13V19\595.0"	160.47	-10.83	208.45	211.65	2	92
"AAPL7\13J19\600.0"	2.75	-0.25	1.2	1.44	5	57	600	"AAPL7\13V19\600.0"	154	-1	213.65	216.25	1	6
"AAPL\13J19\600.0"	1.33	-0.17	1.25	1.36	288	12108	600	"AAPL\13V19\600.0"	215.25	9.25	214.8	215.7	2	879
"AAPL7\13J19\605.0"	0	0	1.1	4.6	0	0	605	"AAPL7\13V19\605.0"	0	0	218	220.8	0	0
"AAPL\13J19\605.0"	1.21	-0.3	1.14	1.26	14	1246	605	"AAPL\13V19\605.0"	150.1	-34.93	218.4	221	3	162
"AAPL7\13J19\610.0"	0	0	1.02	4.55	0	0	610	"AAPL7\13V19\610.0"	0	0	223.5	226.15	0	0
"AAPL\13J19\610.0"	1.17	-0.23	1.09	1.2	1	1266	610	"AAPL\13V19\610.0"	188.95	22.08	223.4	226.4	1	320
"AAPL7\13J19\615.0"	4	0.25	0.94	4.55	1	3	615	"AAPL7\13V19\615.0"	0	0	228.2	230.65	0	0
"AAPL\13J19\615.0"	1.22	-0.34	0.98	1.1	1	719	615	"AAPL\13V19\615.0"	189	-8.8	228.65	230.75	1	135
"AAPL7\13J19\620.0"	4	0	0.87	4.8	1	1	620	"AAPL7\13V19\620.0"	0	0	233.25	235.95	0	0
"AAPL\13J19\620.0"	1.1	-0.15	0.78	1.02	2	764	620	"AAPL\13V19\620.0"	233.11	41.01	234.75	235.5	1	170
"AAPL7\13J19\625.0"	1.16	0	0.6	1.05	3	0	625	"AAPL7\13V19\625.0"	0	0	237.9	240.85	0	0
"AAPL\13J19\625.0"	0.9	-0.3	0.88	0.95	30	717	625	"AAPL\13V19\625.0"	206.12	36.98	239.6	240.3	2	156
"AAPL7\13J19\630.0"	0	0	0.74	4.55	0	0	630	"AAPL7\13V19\630.0"	0	0	242.9	245.8	0	0
"AAPL\13J19\630.0"	0.99	-0.16	0.75	0.88	2	654	630	"AAPL\13V19\630.0"	208.5	2.6	243.05	245.5	1	262
"AAPL7\13J19\635.0"	1.5	-0.3	0.69	0.93	11	15	635	"AAPL7\13V19\635.0"	0	0	248.2	250.35	0	0
"AAPL\13J19\635.0"	0.82	-0.2	0.76	0.83	21	499	635	"AAPL\13V19\635.0"	240.22	6.16	249.3	250.2	1	227
"AAPL7\13J19\640.0"	0	0	0.64	4.5	0	0	640	"AAPL7\13V19\640.0"	0	0	253.1	255.7	0	0
"AAPL\13J19\640.0"	0.71	-0.41	0.69	0.77	28	741	640	"AAPL\13V19\640.0"	239.25	17.59	254.4	255.4	2	102
"AAPL7\13J19\645.0"	0	0	0.6	4.5	0	0	645	"AAPL7\13V19\645.0"	0	0	257.6	260.65	0	0
"AAPL\13J19\645.0"	0.79	-0.11	0.65	0.73	20	246	645	"AAPL\13V19\645.0"	253.3	35.79	259.35	260.35	1	80
"AAPL\13J19\650.0"	0.67	-0.18	0.64	0.75	1118	6082	650	"AAPL\13V19\650.0"	269.05	23.05	264.05	265.15	2	121
"AAPL\13J19\655.0"	0.72	-0.23	0.43	0.65	6	325	655	"AAPL\13V19\655.0"	274	69.35	268.95	270	1	27
"AAPL\13J19\660.0"	0.6	-0.25	0.53	0.63	14	1045	660	"AAPL\13V19\660.0"	236.4	37.45	272.9	275.8	14	34
"AAPL\13J19\665.0"	0.64	-0.19	0.48	0.59	9	462	665	"AAPL\13V19\665.0"	237.03	-1.33	277.85	280.75	5	36
"AAPL\13J19\670.0"	0.64	-0.04	0.32	0.54	6	263	670	"AAPL\13V19\670.0"	242.5	15.33	282.8	285.75	1	52
"AAPL\13J19\675.0"	0.68	-0.14	0.4	0.53	5	426	675	"AAPL\13V19\675.0"	248.42	0.82	287.85	290.7	3	151
"AAPL\13J19\680.0"	0.55	-0.11	0.39	0.49	5	647	680	"AAPL\13V19\680.0"	256.25	2.79	293.75	294.9	1	54
"AAPL\13J19\685.0"	0.56	-0.22	0.26	0.45	4	544	685	"AAPL\13V19\685.0"	181.45	0.2	297.7	300.65	6	9
"AAPL\13J19\690.0"	0.72	0	0.3	0.44	3	383	690	"AAPL\13V19\690.0"	289.86	29.86	303.65	304.8	15	75
"AAPL\13J19\695.0"	0.67	0.02	0.23	0.42	67	465	695	"AAPL\13V19\695.0"	308.5	13.5	308.7	309.8	7	47
"AAPL\13J19\700.0"	0.37	-0.13	0.31	0.39	23	2727	700	"AAPL\13V19\700.0"	318.7	8.7	313.6	314.8	1	151
"AAPL\13J19\705.0"	0.53	-0.05	0.28	0.48	1	355	705	"AAPL\13V19\705.0"	206.02	-5.03	317.6	320.5	1	41
"AAPL\13J19\710.0"	0.46	-0.19	0.19	0.37	2	384	710	"AAPL\13V19\710.0"	270.39	36.62	322.6	325.5	15	44
"AAPL\13J19\715.0"	0.33	-0.32	0.26	0.33	12	403	715	"AAPL\13V19\715.0"	222.05	27.4	327.55	330.45	9	20
"AAPL\13J19\720.0"	0.38	-0.07	0.16	0.31	2	204	720	"AAPL\13V19\720.0"	0	0	332.55	335.45	0	0
"AAPL\13J19\725.0"	0.37	-0.02	0.07	0.33	4	268	725	"AAPL\13V19\725.0"	270.75	33.6	337.5	340.4	1	18
"AAPL\13J19\730.0"	0.73	0.13	0.13	0.48	1	253	730	"AAPL\13V19\730.0"	198	-4.6	342.5	345.4	1	21
"AAPL\13J19\735.0"	0.5	-0.12	0.12	0.46	2	145	735	"AAPL\13V19\735.0"	344.65	137.75	348.45	349.65	8	18
"AAPL\13J19\740.0"	0.22	-0.34	0.12	0.29	11	242	740	"AAPL\13V19\740.0"	288.8	1.15	352.5	355.35	1	12
"AAPL\13J19\745.0"	0.45	-0.17	0.01	0.42	4	263	745	"AAPL\13V19\745.0"	194	0	357.5	360.35	1	1
